title,price,isbn,publication_year,language,cover_type,pages_number,book_id,author_id,publisher_id,genre,rating
"Անտիպ գործեր, նամականիներ, նյութեր և փաստաթղթեր",16800.0,2002392000000,2023.0,Armenian,Ultrathin,750.0,17,17,4,Fiction,0.4
Մտքից առաջ,3400.0,9789939890388,2023.0,Armenian,Soft,160.0,18,18,4,Fantasy,1.8
Այբուբենի խոսքը,1700.0,9789939890371,2023.0,Armenian,Soft,43.0,19,18,4,Science Fiction,2.1
Մաթեմատիկա 9-րդ դասարան․ 15 թեստ,1200.0,9789939759517,2023.0,Armenian,Soft,64.0,20,19,5,Biography,1.2
Հեռացողների եւ մնացողների պատմությունը,5800.0,9789939884882,2023.0,Armenian,Hard,396.0,21,20,1,Non-Fiction,4.8
Ոսկե տաճարը,5990.0,9789939769752,2023.0,Armenian,Hard,252.0,22,21,2,Fantasy,4.6
Մերկ թագավորը և այլ պիեսներ,5990.0,9789939769943,2023.0,Armenian,Hard,568.0,23,22,2,Fiction,2.5
Հրաժեշտ Գաբոյին ու Մերսեդեսին,3990.0,9789939980065,2023.0,Armenian,Hard,252.0,24,23,2,Self-Help,3.1
Պարույրը,3990.0,9789939769738,2023.0,Armenian,Hard,280.0,25,24,2,Fantasy,1.6
Ոչ մի շաբաթ առանց Տերյանի,4200.0,9789939990064,2023.0,Armenian,Hard,160.0,26,25,8,Mystery,3.3
Աշխարհի մեծագույն վաճառականը․ Մաս 2,3500.0,9789939759418,2023.0,Armenian,Hard,125.0,27,26,5,Fantasy,4.7
Բուկետ,6000.0,9789939917986,2023.0,Armenian,Hard,231.0,28,27,4,Fantasy,0.8
Անդրանիկի վերջին ձին,4800.0,9789939884899,2023.0,Armenian,Hard,292.0,29,28,1,Science Fiction,0.7
Իմ Չարենցը,3000.0,9789939877990,2023.0,Armenian,Soft,70.0,30,5,9,Fiction,0.9
Լոռեցի Սաքոն․ Արձակ և պոեզիա,4000.0,9789939877921,2023.0,Armenian,Soft,85.0,31,29,9,Mystery,0.2
"Հարուստ հայրիկ, աղքատ հայրիկ․ Պատանիների համար",5990.0,9789939769622,2023.0,Armenian,Ultrathin,106.0,32,30,2,Mystery,4.9
Հուշեր․ Իմ կյանքի մասին,4700.0,9789939822952,2023.0,Armenian,Soft,250.0,33,31,10,Fantasy,4.7
Aram could not be seito,4200.0,9789939822976,2023.0,English,Soft,163.0,34,32,10,Thriller,2.7
Der Volkermord an den Armeniern vor Gericht. Der prozeb Talaat Pascha,5000.0,2002388000007,2023.0,German,Soft,136.0,35,33,10,Thriller,0.5
The Armenian Genocide and Its Consequences,4000.0,9789939822891,2023.0,English,Soft,46.0,36,34,10,Thriller,3.2
Հայեր և երիտթուրքեր․ Կիլիկիայի կոտորածները,4000.0,2002385000000,2023.0,Armenian,Hard,105.0,37,35,10,Self-Help,3.7
Մեր գյուղի պատմությունը,4200.0,9789939822921,2023.0,Armenian,Soft,240.0,38,36,10,History,1.3
Հոշոտված Հայաստան․Ավրորա Մարդիգանյանի պատմությունը,5000.0,9789939822860,2023.0,Armenian,Soft,233.0,39,37,10,Fantasy,2.2
"Սերս, խոհերս, հայրենիքս",5000.0,9789939607900,2023.0,Armenian,Soft,195.0,40,38,4,Biography,4.4
Մանկաբուժություն․ Դասախոսություններ,10000.0,9789939769547,2023.0,Armenian,Hard,135.0,41,39,4,History,1.6
Նահատակների կտակը,8400.0,9789939039961,2023.0,Armenian,Ultrathin,318.0,42,40,4,Self-Help,1.4
Այսպես սպանեցինք,6800.0,9789939039954,2023.0,Armenian,Ultrathin,173.0,43,41,4,Thriller,0.9
Օրերիս հետ,11800.0,9789939027999,2023.0,Armenian,Ultrathin,526.0,44,42,4,Self-Help,3.5
IELTS Frontiers + CD,7000.0,9789939043999,2023.0,English,Soft,210.0,45,43,4,Fiction,4.0
Ակեղդամա․ հատոր 2,8000.0,9789939917672,2023.0,Armenian,Soft,260.0,46,44,4,Fiction,2.1
Курёхин. Шкипер о Капитане,7700.0,9785171181321,2023.0,Russian,Hard,352.0,47,45,11,Fiction,1.3
Прыжок,5400.0,9785171537302,2023.0,Russian,Hard,352.0,48,46,11,Thriller,3.6
Корейский язык. Грамматика для начинающих. Уровни TOPIK I 12,2900.0,9785171524302,2023.0,Russian,Soft,128.0,49,47,11,Romance,4.6
Письма о добром и прекрасном,4100.0,9785171345372,2023.0,Russian,Soft,192.0,50,48,11,Fiction,2.0
До самого рая,8400.0,9785171455187,2023.0,Russian,Hard,576.0,51,49,11,Self-Help,2.5
На краю пропасти,10200.0,9785171473129,2023.0,Russian,Hard,528.0,52,50,11,Science Fiction,0.1
Главные песни ХХ века. От Диксиленда до хипхопа,7600.0,9785171329808,2023.0,Russian,Hard,400.0,53,45,11,Self-Help,3.8
Книга для родителей,1800.0,9785171534790,2023.0,Russian,Soft,512.0,54,51,11,Romance,1.6
Греческий язык без репетитора. Самоучитель греческого языка,2300.0,9785171448936,2023.0,Russian,Soft,320.0,55,52,11,Fiction,3.9
Космический детектив. ФуФу и КисКис идут по следу,4800.0,9785171547981,2023.0,Russian,Hard,32.0,56,53,11,Thriller,3.3
Темная сторона,4400.0,9785171544454,2023.0,Russian,Hard,352.0,57,54,11,Romance,1.0
Простые волшебные вещи,4400.0,9785171541330,2023.0,Russian,Hard,352.0,58,54,11,Mystery,1.8
Чужак,5100.0,9785171518066,2023.0,Russian,Hard,640.0,59,54,11,Romance,4.3
Ленин,5500.0,9785171514730,2023.0,Russian,Hard,320.0,60,55,11,Biography,4.2
Бусидо. Кодекс чести самурая,3900.0,9785171499129,2023.0,Russian,Hard,192.0,61,56,11,Thriller,2.9
Сталин,3200.0,9785171514549,2023.0,Russian,Soft,640.0,62,57,11,Non-Fiction,1.0
Мактуб,4400.0,9785171551902,2023.0,Russian,Hard,256.0,63,58,11,Fiction,3.0
"Ада, или Отрада",7800.0,9785171391072,2023.0,Russian,Hard,800.0,64,59,11,Thriller,3.6
Три Поросенка в стиле Василия Кандинского,2200.0,9785907399846,2023.0,Russian,Soft,16.0,65,60,12,Non-Fiction,1.7
Снежная Королева в стиле Пабло Пикассо,3800.0,9785907237100,2023.0,Russian,Hard,14.0,66,61,12,Fiction,3.5
Алиса в Стране Чудес в стиле Сальвадора Дали,3800.0,9785907237155,2023.0,Russian,Hard,14.0,67,62,12,Fantasy,0.7
Гадкий Утенок в стиле Винсента Ван Гога,3800.0,9785907237162,2023.0,Russian,Hard,14.0,68,61,12,Non-Fiction,3.8
Красавица и Чудовище в стиле Густава Климта,3800.0,9785907237124,2023.0,Russian,Hard,14.0,69,63,12,Thriller,2.6
Маша и Медведь в стиле Бориса Кустодиева,3800.0,9785907399266,2023.0,Russian,Hard,14.0,70,64,12,Science Fiction,4.6
Снежная Королева в стиле Пабло Пикассо,2200.0,9785907399747,2023.0,Russian,Soft,16.0,71,64,12,Mystery,3.9
Русалочка в стиле Клода Моне,2200.0,9785907399709,2023.0,Russian,Soft,16.0,72,64,12,Thriller,2.5
Мини-книга-диктофон Золушка,9200.0,9785604284001,2023.0,Russian,Hard,10.0,73,63,12,Non-Fiction,2.5
Щелкунчик,8800.0,9785604284032,2023.0,Russian,Hard,10.0,74,65,12,Fantasy,2.8
Բարի Գործերի քաղաք,3500.0,9789939663463,2023.0,Armenian,Hard,174.0,75,66,13,Romance,4.6
Արցունքներ դրախտում,2900.0,9789939663555,2023.0,Armenian,Hard,390.0,76,67,13,Science Fiction,3.8
Ռեզիդենտը,6500.0,9789939663081,2023.0,Armenian,Hard,470.0,77,68,13,Biography,4.6
"Ով լաց կլինի, երբ դու մահանաս",4900.0,9789939662817,2023.0,Armenian,Hard,232.0,78,69,13,Biography,1.3
Նուպար,3700.0,9789939663487,2023.0,Armenian,Hard,400.0,79,70,13,Self-Help,4.5
Մենակը,5500.0,9789939663074,2023.0,Armenian,Hard,352.0,80,68,13,Fantasy,2.6
Հարստանալու քո սեփական ուղին,5900.0,9789939663531,2023.0,Armenian,Hard,376.0,81,71,13,Romance,0.5
Հայ ազգի ծագումը,5600.0,9789939663654,2023.0,Armenian,Hard,196.0,82,72,13,Romance,1.7
Խոդեդան,5500.0,9789939663593,2023.0,Armenian,Hard,534.0,83,73,13,Non-Fiction,3.8
Հարրի Փոթերը և փիլիսոփայական քարը (փափուկ կազմ),3900.0,9789939990156,2023.0,Armenian,Soft,304.0,84,74,8,Fantasy,2.6
Զրուցելով Պուտինի հետ,5800.0,9789939884738,2023.0,Armenian,Hard,348.0,85,75,1,Fantasy,1.4
Արծիվը իր բոյնին մէջ,3700.0,9789939663470,2023.0,Armenian,Hard,265.0,86,70,13,Thriller,4.7
"Առաջնորդության ութ խորհուրդ վանականից, որը վաճառեց իր ""Ֆերարին""",4900.0,9789939662862,2023.0,Armenian,Hard,370.0,87,69,13,History,1.0
Աշխարհի մեծագույն գաղտնիքը,5500.0,9789939663517,2023.0,Armenian,Hard,244.0,88,26,13,Fantasy,0.9
Աշխարհի մեծագույն առեղծվածը,4700.0,9789939663524,2023.0,Armenian,Hard,164.0,89,26,13,Fantasy,4.0
Այբոլիտ․Գիրք- համայնապատկեր,2400.0,9789939663234,2023.0,Armenian,Soft,10.0,90,76,13,Thriller,2.3
987,3500.0,9789939663500,2023.0,Armenian,Hard,176.0,91,66,13,Romance,3.6
Լալան ու խատուտիկը,2000.0,9789939607979,2023.0,Armenian,Soft,20.0,92,77,4,Non-Fiction,4.9
Лала и одуванчик,2000.0,9789939607962,2023.0,Russian,Soft,21.0,93,77,4,Thriller,4.0
365 արար,2500.0,9789939606521,2023.0,Armenian,Hard,185.0,94,77,4,Biography,4.0
Անմահութեան աղբիւրը,3000.0,9789757265993,2023.0,Western Armenian,Soft,80.0,95,78,4,Self-Help,1.2
Հայ մեծ-ման,4000.0,9786050100400,2023.0,Western Armenian,Soft,72.0,96,79,4,Mystery,0.0
Թագաւորն ու ծովը,4500.0,9786057469274,2023.0,Western Armenian,Soft,48.0,97,80,4,Biography,3.9
Ոսկի պտուկը,4000.0,9789757265221,2023.0,Western Armenian,Soft,50.0,98,78,4,History,1.3
Հպարտ չղջիկը,3000.0,9789757265405,2023.0,Western Armenian,Soft,54.0,99,78,4,Thriller,1.3
Կավռօշ-նամէ,8000.0,9786052100370,2023.0,Western Armenian,Soft,600.0,100,81,4,History,2.6
Աստղերու հեղեղ,5000.0,9786052100196,2023.0,Western Armenian,Soft,185.0,101,82,4,Mystery,2.2
Բեմի ընկերներս,5000.0,9786052100882,2023.0,Western Armenian,Soft,176.0,102,83,4,Thriller,1.7
The theatre and cinema of Arby Ovanissian,12000.0,9789939113272,2023.0,English,Hard,350.0,103,84,4,Non-Fiction,0.2
Գարեգին Պատրիարք Խաչատուրեան,4000.0,9789757265597,2023.0,Western Armenian,Soft,191.0,104,85,4,Mystery,0.4
Վարդ եւ Շուշան,5000.0,2002411000004,2023.0,Western Armenian,Hard,86.0,105,82,4,Fiction,2.0
Զէր0,3000.0,9789939899466,2023.0,Western Armenian,Soft,80.0,106,86,4,Thriller,0.0
Զարմանալի աշխարհ,4000.0,9789757265559,2023.0,Western Armenian,Soft,256.0,107,87,4,Thriller,2.7
Մեծ Պատրիարքը,5000.0,9786055753382,2023.0,Western Armenian,Soft,264.0,108,88,4,Fantasy,0.5
Համադրական մեթոտ հայերէն լեզուի․ L’Arménien Global․ Méthode d'arménien occidental,21000.0,9782490756063,2023.0,Western Armenian,Soft,300.0,109,89,4,History,2.6
Հէգ թուղթի կտորներ,3000.0,9789757265153,2023.0,Western Armenian,Soft,160.0,110,90,4,Thriller,2.4
Կարպիս Ճանճիկեանի հետքերով,4000.0,9786055753610,2023.0,Western Armenian,Soft,184.0,111,91,4,Non-Fiction,4.8
Յաղթանակի ճամբան,4000.0,9789757265634,2023.0,Western Armenian,Soft,336.0,112,88,4,Self-Help,1.0
Պանդուխտ երգեր,3000.0,9786055753368,2023.0,Western Armenian,Soft,130.0,113,92,4,Non-Fiction,5.0
Անցուկը մոռցուկ,8000.0,9786052100806,2023.0,Western Armenian,Soft,586.0,114,93,4,Biography,0.2
Գաւառէն ձայներ,4000.0,9786055753719,2023.0,Western Armenian,Soft,158.0,115,94,4,Non-Fiction,2.6
Հացին երգը,4000.0,9786052100424,2023.0,Western Armenian,Flexible,107.0,116,95,4,Thriller,0.9
Անհուն երկինք աչքերու մէջ,4000.0,9786052100981,2023.0,Western Armenian,Soft,95.0,117,96,4,History,1.8
Քավություն,5400.0,9789939689913,2023.0,Armenian,Ultrathin,295.0,118,97,8,Self-Help,3.4
Օսկարը և վարդագույն տիկինը,4900.0,9789939930121,2023.0,Armenian,Hard,226.0,119,98,14,Biography,4.5
Эли и Мо. День без интернета,5900.0,9785907399327,2023.0,Russian,Hard,64.0,120,99,12,Mystery,3.2
Карлик Нос в стиле Рене Магритта,3800.0,9785907399273,2023.0,Russian,Hard,14.0,121,64,12,Self-Help,3.4
Последний кот в сапогах,5600.0,9785907399341,2023.0,Russian,Hard,144.0,122,100,12,Fiction,0.6
Красная Шапочка в стиле Поп-Арт,3800.0,9785907237117,2023.0,Russian,Hard,14.0,123,63,12,History,1.6
Мини-книга-диктофон Волк и семеро козлят,9200.0,9785604191163,2023.0,Russian,Hard,10.0,124,64,12,Fiction,3.0
Мини-книга-диктофон Кот в сапогах,9200.0,9785604284025,2023.0,Russian,Hard,10.0,125,63,12,Fantasy,1.7
Մեզնից մեկը ստում է,5800.0,9789939884875,2023.0,Armenian,Hard,440.0,126,101,1,Fantasy,0.3
Гадкий Утенок в стиле Винсента Ван Гога,2200.0,9785907399662,2023.0,Russian,Soft,16.0,127,64,12,Biography,1.4
Рапунцель в стиле Альфонса Мухи,2200.0,9785907399693,2023.0,Russian,Soft,16.0,128,64,12,Thriller,3.2
Мальчик-с-пальчик в стиле Альбрехта Дюрера,2200.0,9785907399419,2023.0,Russian,Soft,16.0,129,64,12,Fiction,4.6
Алиса в стране чудес в стиле Сальвадора Дали,2200.0,9785907399464,2023.0,Russian,Soft,16.0,130,64,12,Science Fiction,4.1
Бременские музыканты в стиле Рембрандта,2200.0,9785907399433,2023.0,Russian,Soft,16.0,131,64,12,Fiction,2.8
Красавица и чудовище в стиле Климта,2200.0,9785907399440,2023.0,Russian,Soft,16.0,132,64,12,Mystery,4.1
Дюймовочка в стиле Марка Шагала,2200.0,9785907399457,2023.0,Russian,Soft,16.0,133,64,12,Mystery,0.3
Снегурочка в стиле Василия Сурикова,2200.0,9785907399730,2023.0,Russian,Soft,16.0,134,102,12,Romance,4.2
Красная Шапочка в стиле Поп-Арт,2200.0,9785907399686,2023.0,Russian,Soft,16.0,135,63,12,Non-Fiction,3.6
Сенбернар Бэрри,2400.0,9785907520288,2023.0,Russian,Soft,36.0,136,103,12,Mystery,4.2
Школа леса,5500.0,9785907520066,2023.0,Russian,Hard,56.0,137,103,12,Science Fiction,1.7
Опасные приключения Веры и Саши. Уровень: Одни дома,1500.0,9785907520264,2023.0,Russian,Soft,32.0,138,104,12,History,0.5
Школа джунглей,5500.0,9785907520059,2023.0,Russian,Hard,56.0,139,103,12,Non-Fiction,3.3
Опасные приключения Веры и Саши. Уровень: Транспорт,1500.0,9785907520257,2023.0,Russian,Soft,32.0,140,104,12,Fantasy,2.5
Мобилизованная нация. Германия 1939–1945,12100.0,9785389135505,2023.0,Russian,Hard,688.0,141,105,15,Mystery,2.1
Во все тяжкие бизнес-сторителлинга. PR и маркетинг эпохи HBO,5300.0,9785041131050,2023.0,Russian,Soft,224.0,142,106,16,History,4.3
Читать Маркса,3500.0,9785759821380,2023.0,Russian,Soft,176.0,143,107,17,History,4.3
Юность,8500.0,9785604474952,2023.0,Russian,Soft,168.0,144,108,18,History,2.6
Торжество незначительности,4100.0,9785389220478,2023.0,Russian,Hard,160.0,145,109,19,Romance,4.1
Преступления Арсена Люпена,6800.0,9785389211698,2023.0,Russian,Hard,736.0,146,110,15,Mystery,1.2
Рубаи,5900.0,9785389220393,2023.0,Russian,Hard,416.0,147,111,19,Thriller,0.6
Неспешность. Подлинность,4300.0,9785389216310,2023.0,Russian,Hard,288.0,148,109,15,Fiction,4.3
Консуэло,5900.0,9785389214033,2023.0,Russian,Hard,832.0,149,112,19,Biography,1.0
Илиада. Одиссея,6700.0,9785389203099,2023.0,Russian,Hard,832.0,150,113,15,Mystery,1.4
Гений. Оплот,7200.0,9785389214026,2023.0,Russian,Hard,1024.0,151,114,19,Biography,3.4
Зеркало загадок,5200.0,9785389211551,2023.0,Russian,Hard,480.0,152,115,20,Fantasy,4.8
Думая вслух. Семь вечеров,6100.0,9785389214248,2023.0,Russian,Hard,384.0,153,115,20,Fantasy,0.6
Дом тишины,5900.0,9785389216990,2023.0,Russian,Hard,480.0,154,116,19,Self-Help,1.8
Графиня де Монсоро,6900.0,9785389221307,2023.0,Russian,Hard,960.0,155,117,19,Science Fiction,4.5
Камо грядеши,5600.0,9785389146914,2023.0,Russian,Hard,608.0,156,118,19,Biography,3.0
I love Dick,7900.0,9785604247860,2023.0,Russian,Soft,280.0,157,119,18,Biography,2.6
Бессмертие,4600.0,9785389216303,2023.0,Russian,Hard,416.0,158,109,15,Fantasy,2.7
О военном искусстве,6600.0,9785389217201,2023.0,Russian,Flexible,320.0,159,120,20,Mystery,0.3
Портрет Дориана Грея. Роман. Повести. Рассказы. Сказки. Поэмы. Эссе,6900.0,9785389218628,2023.0,Russian,Hard,928.0,160,121,19,Thriller,0.5
Будущее: принципы и практики созидания,4900.0,9785907163249,2023.0,Russian,Soft,160.0,161,122,21,Biography,2.0
Памяти памяти,9100.0,9785983792562,2023.0,Russian,Hard,408.0,162,123,22,History,1.0
Свобода,4800.0,9785983792616,2023.0,Russian,Soft,204.0,163,124,22,Science Fiction,2.7
Campo santo,5100.0,9785983792494,2023.0,Russian,Soft,242.0,164,125,22,Romance,3.3
Мартиролог. Дневники 1970-1986,37200.0,9788890330148,2023.0,Russian,Hard,656.0,165,126,23,Thriller,1.6
Состояние постмодерна. Исследование истоков культурных изменений,8400.0,9785759823698,2023.0,Russian,Hard,576.0,166,127,17,Romance,4.0
Minima philologica: 95 тезисов о филологии За филологию,3800.0,9785890593863,2023.0,Russian,Soft,216.0,167,128,24,Self-Help,4.5
Постправда. Знание как борьба за власть,6500.0,9785759821908,2023.0,Russian,Hard,368.0,168,129,17,Non-Fiction,0.6
Философский постгуманизм,6500.0,9785759825845,2023.0,Russian,Soft,360.0,169,130,17,Fantasy,3.1
Хозяйство и общество. Очерки понимающей социологии. В 4-х томах. Том 1. Социология,7900.0,9785759825364,2023.0,Russian,Hard,448.0,170,131,17,Romance,4.8
Хозяйство и общество. Очерки понимающей социологии. В 4-х томах. Господство. Том IV,8000.0,9785759815167,2023.0,Russian,Hard,544.0,171,131,17,Non-Fiction,4.6
Моральное воспитание,7400.0,9785759825302,2023.0,Russian,Hard,456.0,172,132,17,Fantasy,4.4
Основы математического анализа,6100.0,9785759811831,2023.0,Russian,Hard,368.0,173,133,17,Fantasy,0.4
Мы никогда не были средним классом,3600.0,9785759825340,2023.0,Russian,Hard,200.0,174,134,17,Fiction,2.9
Джим Джармуш. Стихи и музыка,3900.0,9785444809594,2023.0,Russian,Soft,240.0,175,135,25,Science Fiction,3.2
Красный. История цвета,5700.0,9785444817551,2023.0,Russian,Hard,160.0,176,136,25,Fiction,0.8
Синий. История цвета,5700.0,9785444818015,2023.0,Russian,Hard,144.0,177,136,25,Biography,3.2
Черный. История цвета,6600.0,9785444818459,2023.0,Russian,Hard,168.0,178,136,25,Biography,3.0
Событие,6300.0,9785604645048,2023.0,Russian,Soft,80.0,179,137,18,Fiction,2.1
Память девушки,6300.0,9785604645055,2023.0,Russian,Soft,160.0,180,137,18,Thriller,2.1
Женщина,6300.0,9785604728833,2023.0,Russian,Soft,80.0,181,137,18,Romance,4.1
Во власти,6300.0,9785604728864,2023.0,Russian,Soft,80.0,182,137,18,Mystery,4.4
Расцветает самая красная из роз,8600.0,9785604247877,2023.0,Russian,Hard,172.0,183,138,18,Thriller,2.3
Внутри зеркальной галереи,10100.0,9785604645017,2023.0,Russian,Hard,168.0,184,138,18,Mystery,2.6
Синеты,5700.0,9785604247815,2023.0,Russian,Soft,96.0,185,139,18,Fiction,1.8
Лица,6300.0,9785604645086,2023.0,Russian,Soft,160.0,186,108,18,Science Fiction,2.7
"Ползут, чтоб вновь родиться в Вифлиеме",9200.0,9785604596159,2023.0,Russian,Soft,248.0,187,140,18,Fantasy,0.3
Комната Вильхельма,7800.0,9785604728840,2023.0,Russian,Soft,192.0,188,108,18,Fantasy,0.3
Опросник,5100.0,9785985852783,2023.0,Russian,Soft,24.0,189,141,26,Mystery,1.1
Кинг-конг-теория,5100.0,9785604247808,2023.0,Russian,Soft,112.0,190,142,18,Thriller,1.8
Писатель и его издатель,8200.0,9785604694749,2023.0,Russian,Soft,217.0,191,143,26,Romance,3.2
Белая княгиня,2400.0,9785905486579,2023.0,Russian,Soft,34.0,192,144,26,Science Fiction,4.4
Мечтатели,4900.0,9785604587232,2023.0,Russian,Soft,110.0,193,145,26,Biography,4.8
Лошадки Тарквинии,6500.0,9785604694787,2023.0,Russian,Soft,195.0,194,146,26,Biography,3.4
Школьные сочинения Фритца Кохера,4900.0,9785985852998,2023.0,Russian,Soft,128.0,195,147,26,Biography,4.9
Сочинения,5800.0,9785604818428,2023.0,Russian,Soft,157.0,196,147,26,Self-Help,2.8
Хельдерлин,5200.0,9785905486692,2023.0,Russian,Soft,108.0,197,148,26,Science Fiction,1.4
Маркитантка Кураж и ее дети,4400.0,9785604587225,2023.0,Russian,Soft,80.0,198,149,26,Self-Help,2.1
Диалоги с Сокуровым,8000.0,9785604388730,2023.0,Russian,Hard,288.0,199,150,27,Romance,3.8
Леос Каракс. История(и) любви,6200.0,9785604388792,2023.0,Russian,Soft,176.0,200,135,27,History,4.7
Хроники,2900.0,9785890593931,2023.0,Russian,Hard,240.0,201,151,24,Non-Fiction,0.2
Бизнес в стиле Макдоналдс,7300.0,9785961477511,2023.0,Russian,Hard,208.0,202,152,28,Fiction,3.9
Надаш. Пьесы,3200.0,9785604312661,2023.0,Russian,Soft,320.0,203,153,29,Mystery,4.7
Гленн Гульд берет интервью у Гленна Гульда о Гленне Гульде,2100.0,9785604593516,2023.0,Russian,Soft,48.0,204,154,29,Mystery,4.9
Гениальные воры. О смысле и значении плагиата,4100.0,9000026660326,2023.0,Russian,Soft,54.0,205,155,26,History,1.8
Неопределенность,3100.0,9785604593509,2023.0,Russian,Soft,120.0,206,156,29,Thriller,4.7
Другой материал. Фрагменты о Густаве Малере,3900.0,9785604593585,2023.0,Russian,Soft,312.0,207,157,29,Biography,3.7
Избранные стихотворения,2500.0,9785604660119,2023.0,Russian,Soft,40.0,208,158,29,Mystery,0.8
Как слушать музыку,7300.0,9785961429985,2023.0,Russian,Soft,248.0,209,159,28,Science Fiction,0.8
Икигай: Японские секреты долгой и счастливой жизни,2700.0,9785961483741,2023.0,Russian,Soft,176.0,210,160,28,Fiction,2.8
Компас эмоций: Как разобраться в своих чувствах,3100.0,9785961485806,2023.0,Russian,Soft,156.0,211,161,28,History,4.7
Мистика лидерства. Развитие эмоционального интеллекта,3600.0,9785961485004,2023.0,Russian,Soft,404.0,212,162,28,Thriller,0.6
Обучение как приключение,3100.0,9785961485226,2023.0,Russian,Soft,237.0,213,163,28,Non-Fiction,4.4
Подсознательный бог: Психотерапия и религия,4500.0,9785001395171,2023.0,Russian,Hard,218.0,214,164,28,Biography,4.7
Разговор с незнакомцем,3700.0,9785961484618,2023.0,Russian,Soft,488.0,215,165,28,Mystery,2.1
Режим гения: Распорядок дня великих людей,4200.0,9785961485585,2023.0,Russian,Soft,302.0,216,166,28,Fiction,2.6
Романтический манифест: философия литературы,7300.0,9785961461657,2023.0,Russian,Hard,199.0,217,167,28,Self-Help,3.4
"То, чего нет в моих книгах: Воспоминания",4500.0,9785001397434,2023.0,Russian,Hard,196.0,218,164,28,Romance,0.0
Центр тяжести,5900.0,9785001398417,2023.0,Russian,Soft,526.0,219,168,28,Romance,1.3
Цифровая дисциплина,4800.0,9785961473056,2023.0,Russian,Soft,368.0,220,169,28,Science Fiction,0.7
Бережливый Дельфин Дейзи,5200.0,9785961483703,2023.0,Russian,Hard,32.0,221,170,28,Non-Fiction,3.8
Ճապոնական հրաշքը և ճապոնացիները,3400.0,9789939823119,2012.0,Armenian,Hard,227.0,222,171,4,Thriller,0.8
Խառնաշփոթ գույներ,1000.0,9789939694092,2023.0,Armenian,Soft,86.0,223,172,4,Biography,1.2
Բնության տաճարում,3000.0,9789939990002,2023.0,Armenian,Soft,160.0,224,173,4,Romance,4.9
Sapiens.Графическая история(часть 1.Рождение человечества),10600.0,9785001313748,2023.0,Russian,Soft,248.0,225,174,30,Biography,1.9
"Как работают наши чувства, авт Джонс Р.",7300.0,9785001314349,2023.0,Russian,Hard,272.0,226,175,30,Self-Help,1.8
"Какое будущее мы выбираем (КБС), авт. Фигерес К.",4900.0,9785001312543,2023.0,Russian,Soft,256.0,227,176,30,Self-Help,4.5
"Мальчишки из «Никеля», авт.Уайтхед К.",6100.0,9785001314288,2023.0,Russian,Soft,288.0,228,177,30,History,4.2
Моя гениальная подруга,2500.0,9785001314110,2023.0,Russian,Soft,384.0,229,178,30,Self-Help,4.2
Книга Дипеша Чакрабарти «Провинциализируя Европу»,8900.0,9785604538210,2023.0,Russian,Soft,384.0,230,179,31,Biography,2.2
Moscow: A Guide to Soviet Modernist Architecture 1955-1991,10400.0,9788090671461,2023.0,English,Soft,352.0,231,180,31,Self-Help,2.9
"Книга:Павел Пепперштейн. Эксгибиционист""",11800.0,9785990971745,2023.0,Russian,Hard,628.0,232,181,31,Romance,1.4
